time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-05 00:00:00+00:00,1,1,0,0
2024-08-08 00:00:00+00:00,9,6,67,1
2024-08-13 00:00:00+00:00,0,0,3,1
2024-08-15 00:00:00+00:00,1,1,0,0
2024-08-16 00:00:00+00:00,1,1,0,0
2024-08-17 00:00:00+00:00,5,5,0,0
2024-08-18 00:00:00+00:00,3,1,0,0
2024-08-19 00:00:00+00:00,3,3,12,2
2024-08-21 00:00:00+00:00,0,0,5,2
2024-08-24 00:00:00+00:00,2,1,0,0
2024-08-25 00:00:00+00:00,1,1,0,0
2024-08-26 00:00:00+00:00,3,3,0,0
2024-08-27 00:00:00+00:00,1,1,0,0
2024-08-29 00:00:00+00:00,3,3,0,0
2024-08-31 00:00:00+00:00,3,3,0,0
2024-09-02 00:00:00+00:00,2,2,1,1
2024-09-06 00:00:00+00:00,2,2,0,0
2024-09-07 00:00:00+00:00,2,2,0,0
2024-09-08 00:00:00+00:00,3,3,0,0
2024-09-09 00:00:00+00:00,3,3,9,1
2024-09-11 00:00:00+00:00,2,2,0,0
2024-09-13 00:00:00+00:00,2,1,0,0
2024-09-14 00:00:00+00:00,6,6,0,0
2024-09-15 00:00:00+00:00,2,2,0,0
2024-09-16 00:00:00+00:00,3,2,0,0
2024-09-18 00:00:00+00:00,5,4,0,0
2024-09-19 00:00:00+00:00,4,3,12,1
2024-09-20 00:00:00+00:00,2,2,0,0
2024-09-21 00:00:00+00:00,3,3,0,0
2024-09-23 00:00:00+00:00,2,2,0,0
2024-09-24 00:00:00+00:00,2,2,8,1
2024-09-25 00:00:00+00:00,1,1,5,4
2024-09-26 00:00:00+00:00,5,3,1,1
2024-09-28 00:00:00+00:00,0,0,1,1
2024-09-29 00:00:00+00:00,1,1,0,0
2024-09-30 00:00:00+00:00,1,1,0,0
2024-10-02 00:00:00+00:00,3,3,0,0
2024-10-03 00:00:00+00:00,1,1,0,0
2024-10-04 00:00:00+00:00,1,1,0,0
2024-10-06 00:00:00+00:00,2,1,1,1
2024-10-07 00:00:00+00:00,2,1,1,1
2024-10-08 00:00:00+00:00,4,2,0,0
2024-10-10 00:00:00+00:00,2,2,0,0
2024-10-14 00:00:00+00:00,1,1,0,0
2024-10-15 00:00:00+00:00,0,0,2,2
